ID,Link,Date,League,Boost Activation Time,Boost Stop Time,Boost Duration,Multitap LVL,CPT Before Boost,CPT With Boost,Boost Multiplicator,Count of Taps,Taps Per Second,Coins Per Second,Balance Before Boost,Balance After Boost,Boost Income,Energy Limit,Autoclicker Used
1,https://www.youtube.com/watch?v=WOjtJGibIlo,01/20/2024,Platinum,0:05:29,0:05:39,0:00:10,10,11,22,2,239,23.9,525.8,6127550,6132808,5258,6000,Y
2,https://www.youtube.com/watch?v=pEu4AZjEDHk,01/07/2024,Gold,0:07:41,0:07:53,0:00:12,7,8,80,10,59,5.0,396.3,3070498,3075254,4756,5500,N
3,https://www.youtube.com/watch?v=pEu4AZjEDHk,01/07/2024,Gold,0:08:00,0:08:11,0:00:11,7,8,40,5,61,5.5,221.9,3075722,3078163,2441,5500,N
4,https://www.youtube.com/watch?v=pEu4AZjEDHk,01/07/2024,Gold,0:08:46,0:08:58,0:00:12,7,8,40,5,62,5.1,205.4,3078602,3081067,2465,5500,N
5,https://www.youtube.com/watch?v=pEu4AZjEDHk,01/07/2024,Gold,0:13:59,0:14:11,0:00:12,7,8,40,5,64,5.3,212.0,3184202,3186746,2544,5500,N
6,https://www.youtube.com/watch?v=pEu4AZjEDHk,01/07/2024,Gold,0:21:50,0:22:01,0:00:11,7,8,48,6,106,9.6,460.5,3215566,3220631,5065,5500,Y
7,https://www.youtube.com/watch?v=pEu4AZjEDHk,01/07/2024,Gold,0:22:42,0:22:54,0:00:12,7,8,40,5,130,10.9,434.4,3223928,3229141,5213,5500,Y
8,https://www.youtube.com/watch?v=pEu4AZjEDHk,01/07/2024,Gold,0:23:11,0:23:22,0:00:11,7,8,40,5,107,9.7,388.8,3231378,3235655,4277,5500,Y
9,https://www.youtube.com/watch?v=4sx9VaXqNxk,01/15/2024,Gold,0:07:07,0:07:17,0:00:10,9,10,100,10,49,4.9,488.6,1119580,1124466,4886,5000,N
10,https://www.youtube.com/watch?v=lHe5viNyYk0,02/22/2024,Gold,0:03:37,0:03:49,0:00:12,10,11,55,5,37,3.1,171.0,86097,88149,2052,6000,N
11,https://www.youtube.com/watch?v=lHe5viNyYk0,02/22/2024,Gold,0:05:36,0:05:47,0:00:11,10,11,55,5,43,3.9,213.8,87076,89428,2352,6000,N
12,https://www.youtube.com/watch?v=lHe5viNyYk0,02/22/2024,Gold,0:06:58,0:07:10,0:00:12,10,11,22,2,56,4.7,102.7,89548,90780,1232,6000,N
13,https://www.youtube.com/watch?v=t_tHQjJhoro,02/04/2024,Bronze,0:09:35,0:09:46,0:00:11,0,1,6,6,62,5.6,33.7,49,420,371,1000,N
14,https://www.youtube.com/watch?v=t_tHQjJhoro,02/04/2024,Silver,0:15:18,0:15:28,0:00:10,7,8,120,15,39,3.9,468.7,49919,54606,4687,5500,N
15,https://www.youtube.com/watch?v=t_tHQjJhoro,02/04/2024,Silver,0:15:58,0:16:09,0:00:11,7,8,80,10,54,4.9,393.0,62315,66638,4323,5500,N
16,https://www.youtube.com/watch?v=WN1u6ipjNFA,03/18/2024,Diamond,0:02:56,0:03:08,0:00:12,8,9,45,5,52,4.3,193.6,25513518,25515841,2323,5500,N
17,https://www.youtube.com/watch?v=3x0M4vf7ayw,03/16/2024,Diamond,0:04:53,0:05:03,0:00:10,5,6,30,5,81,8.1,241.8,12440945,12443363,2418,3500,Y
18,https://www.youtube.com/watch?v=iuF4BYQpTEc,03/07/2024,Bronze,0:05:17,0:05:27,0:00:10,0,1,5,5,66,6.6,33.2,1211,1543,332,1000,N
19,https://www.youtube.com/watch?v=iuF4BYQpTEc,03/07/2024,Bronze,0:05:42,0:05:52,0:00:10,0,1,2,2,60,6.0,11.9,1598,1717,119,1000,N
20,https://www.youtube.com/watch?v=TkF3MksrKxk,02/26/2024,Gold,0:02:50,0:03:02,0:00:12,8,9,63,7,60,5.0,313.2,183247,187005,3758,4000,N
21,https://www.youtube.com/watch?v=sd2sDrol8mM,02/15/2024,Diamond,0:01:09,0:01:21,0:00:12,8,9,63,7,54,4.5,282.9,15147796,15151191,3395,5000,N
22,https://www.youtube.com/watch?v=sd2sDrol8mM,02/15/2024,Diamond,0:02:59,0:03:09,0:00:10,8,9,63,7,21,2.1,131.5,15148074,15149389,1315,5000,N
23,https://www.youtube.com/watch?v=DGBCA6Pag50,03/27/2024,Platinum,0:04:35,0:04:45,0:00:10,11,12,24,2,58,5.8,140.3,4198529,4199932,1403,6000,N
24,https://www.youtube.com/watch?v=DGBCA6Pag50,03/27/2024,Platinum,0:05:05,0:05:11,0:00:06,11,12,24,2,60,10.1,241.5,4201013,4202462,1449,6000,N
25,https://www.youtube.com/watch?v=ENb1BWexDns,03/28/2024,Bronze,0:01:32,0:01:42,0:00:10,0,1,5,5,55,5.5,27.7,2519,2796,277,1000,N
26,https://www.youtube.com/watch?v=ENb1BWexDns,03/28/2024,Bronze,0:09:11,0:09:21,0:00:10,1,2,20,10,88,8.8,175.5,3102,4857,1755,2000,N
27,https://www.youtube.com/watch?v=ENb1BWexDns,03/28/2024,Bronze,0:10:31,0:10:41,0:00:10,1,2,12,6,97,9.7,116.1,5292,6453,1161,2000,N
28,https://www.youtube.com/watch?v=ENb1BWexDns,03/28/2024,Silver,0:10:58,0:11:08,0:00:10,1,2,10,5,98,9.8,97.6,6626,7602,976,2000,N
29,https://www.youtube.com/watch?v=9d5HjC5p7sg,01/08/2024,Gold,0:03:18,0:03:29,0:00:11,3,4,120,30,90,8.2,978.5,412209,422973,10764,1500,N
30,https://www.youtube.com/watch?v=9d5HjC5p7sg,01/08/2024,Gold,0:03:49,0:04:09,0:00:20,3,4,24,6,110,5.5,131.9,424561,427199,2638,1500,N
31,https://www.youtube.com/watch?v=215swIgQknQ,01/11/2024,Bronze,0:00:26,0:00:36,0:00:10,0,1,6,6,40,4.0,23.9,2523,2762,239,1000,N
32,https://www.youtube.com/watch?v=Dh9iRx0JqU0,01/13/2024,Platinum,0:03:08,0:03:18,0:00:10,12,13,65,5,230,23.0,1493.3,1995641,2010574,14933,7500,Y
33,https://www.youtube.com/watch?v=lQlXkjd0TE4,02/18/2024,Platinum,0:05:29,0:05:39,0:00:10,9,10,50,5,147,14.7,737.1,9997104,10004475,7371,3500,N
34,https://www.youtube.com/watch?v=lQlXkjd0TE4,02/18/2024,Platinum,0:05:54,0:06:04,0:00:10,9,10,20,2,158,15.8,316.3,10005494,10008657,3163,3500,N
35,https://www.youtube.com/watch?v=lQlXkjd0TE4,02/18/2024,Platinum,0:06:19,0:06:28,0:00:09,9,10,20,2,177,19.7,393.7,10008754,10012297,3543,3500,N
36,https://www.youtube.com/watch?v=lQlXkjd0TE4,02/18/2024,Platinum,0:07:06,0:07:16,0:00:10,9,10,20,2,156,15.6,311.2,10013104,10016216,3112,3500,N
37,https://www.youtube.com/watch?v=lQlXkjd0TE4,02/18/2024,Platinum,0:07:31,0:07:40,0:00:09,9,10,20,2,164,18.2,363.7,10016934,10020207,3273,3500,N
38,https://www.youtube.com/watch?v=lQlXkjd0TE4,02/18/2024,Platinum,0:08:12,0:08:21,0:00:09,9,10,20,2,143,15.9,317.4,10021634,10024491,2857,3500,N
39,https://www.youtube.com/watch?v=lQlXkjd0TE4,02/18/2024,Platinum,0:08:38,0:08:48,0:00:10,9,10,100,10,140,14.0,1404.0,10024974,10039014,14040,3500,N
40,https://www.youtube.com/watch?v=lQlXkjd0TE4,02/18/2024,Platinum,0:09:19,0:09:29,0:00:10,9,10,50,5,176,17.6,878.0,10039014,10047794,8780,3500,N
41,https://www.youtube.com/watch?v=lQlXkjd0TE4,02/18/2024,Platinum,0:09:44,0:09:53,0:00:09,9,10,70,7,180,20.0,1396.7,10047794,10060364,12570,3500,N
42,https://www.youtube.com/watch?v=lQlXkjd0TE4,02/18/2024,Platinum,0:10:09,0:10:19,0:00:10,9,10,70,7,144,14.4,1006.9,10061834,10071903,10069,3500,N
43,https://www.youtube.com/watch?v=lQlXkjd0TE4,02/18/2024,Platinum,0:10:34,0:10:43,0:00:09,9,10,70,7,176,19.5,1366.6,10073384,10085683,12299,3500,N
44,https://www.youtube.com/watch?v=lQlXkjd0TE4,02/18/2024,Platinum,0:10:58,0:11:08,0:00:10,9,10,20,2,186,18.6,372.5,10087414,10091139,3725,3500,N
45,https://www.youtube.com/watch?v=lQlXkjd0TE4,02/18/2024,Platinum,0:11:22,0:11:32,0:00:10,9,10,20,2,165,16.5,329.3,10091904,10095197,3293,3500,N
46,https://www.youtube.com/watch?v=lQlXkjd0TE4,02/18/2024,Platinum,0:11:47,0:11:56,0:00:09,9,10,20,2,163,18.1,362.2,10095894,10099154,3260,3500,N
47,https://www.youtube.com/watch?v=lQlXkjd0TE4,02/18/2024,Platinum,0:12:34,0:12:44,0:00:10,9,10,150,15,141,14.1,2112.0,10099734,10120854,21120,3500,N
48,https://www.youtube.com/watch?v=lQlXkjd0TE4,02/18/2024,Platinum,0:12:59,0:13:09,0:00:10,9,10,20,2,194,19.4,387.3,10120854,10124727,3873,3500,N
49,https://www.youtube.com/watch?v=lQlXkjd0TE4,02/18/2024,Platinum,0:13:24,0:13:34,0:00:10,9,10,50,5,185,18.5,927.0,10126024,10135294,9270,3500,N
50,https://www.youtube.com/watch?v=lQlXkjd0TE4,02/18/2024,Platinum,0:14:10,0:14:19,0:00:09,9,10,70,7,168,18.6,1304.4,10136584,10148324,11740,3500,N
51,https://www.youtube.com/watch?v=8xozjC7LFIo,03/13/2024,Platinum,0:03:41,0:03:51,0:00:10,9,10,20,2,339,33.9,678.0,4068883,4075663,6780,7000,Y
52,https://www.youtube.com/watch?v=LvyM3Vbajqk,01/07/2024,Silver,0:03:48,0:03:58,0:00:10,2,3,18,6,82,8.2,148.1,8295,9776,1481,1500,N
53,https://www.youtube.com/watch?v=NOpvwp6qHRs,01/07/2024,Gold,0:06:11,0:06:23,0:00:12,9,10,50,5,29,2.4,122.4,1526141,1527610,1469,5500,N
54,https://www.youtube.com/watch?v=NOpvwp6qHRs,01/07/2024,Gold,0:08:24,0:08:35,0:00:11,9,10,150,15,110,10.0,1505.5,1534574,1551134,16560,5500,N
55,https://www.youtube.com/watch?v=NOpvwp6qHRs,01/07/2024,Gold,0:08:44,0:08:55,0:00:11,9,10,50,5,106,9.7,483.9,1551034,1556357,5323,5500,N
56,https://www.youtube.com/watch?v=NOpvwp6qHRs,01/07/2024,Gold,0:09:06,0:09:17,0:00:11,9,10,60,6,111,10.1,607.0,1556734,1563411,6677,5500,N
57,https://www.youtube.com/watch?v=WHBQBLfARUo,01/07/2024,Bronze,0:03:37,0:03:47,0:00:10,2,3,15,5,86,8.6,129.7,429,1726,1297,1500,N
58,https://www.youtube.com/watch?v=WHBQBLfARUo,01/07/2024,Bronze,0:04:48,0:04:58,0:00:10,2,3,18,6,99,9.9,177.9,2718,4497,1779,1500,N
59,https://www.youtube.com/watch?v=WHBQBLfARUo,01/07/2024,Bronze,0:05:11,0:05:22,0:00:11,2,3,15,5,110,10.0,149.5,4251,5895,1644,1500,N
60,https://www.youtube.com/watch?v=WHBQBLfARUo,01/07/2024,Silver,0:05:30,0:05:40,0:00:10,2,3,18,6,125,12.5,225.3,5895,8148,2253,1500,N
61,https://www.youtube.com/watch?v=UZo34kA709I,01/05/2024,Silver,0:07:28,0:07:38,0:00:10,6,7,35,5,55,5.5,191.8,678206,680124,1918,4000,N
62,https://www.youtube.com/watch?v=UZo34kA709I,01/05/2024,Silver,0:07:42,0:07:52,0:00:10,6,7,42,6,61,6.1,257.6,680124,682700,2576,4000,N
63,https://www.youtube.com/watch?v=PpEcN_hYbKE,01/22/2024,Platinum,0:06:10,0:06:21,0:00:11,8,9,18,2,75,6.8,122.1,4932303,4933646,1343,5000,N
64,https://www.youtube.com/watch?v=IX9U5LLadyc,01/07/2024,Gold,0:03:05,0:03:15,0:00:10,9,10,50,5,149,14.9,746.5,240680,248145,7465,5500,N
65,https://www.youtube.com/watch?v=qqBlcQl3F_I,03/13/2024,Diamond,0:00:25,0:00:35,0:00:10,12,13,26,2,119,11.9,310.6,32287194,32290300,3106,7000,Y
66,https://www.youtube.com/watch?v=M-Qq_mV6Jt8,01/02/2024,Bronze,0:00:28,0:00:38,0:00:10,0,1,10,10,100,10.0,100.2,50032,51034,1002,1000,N
67,https://www.youtube.com/watch?v=13UTVTPcpts,01/05/2024,Gold,0:03:14,0:03:24,0:00:10,12,13,65,5,129,12.9,838.2,3275237,3283619,8382,6500,N
68,https://www.youtube.com/watch?v=EaOwh2AUM2A,01/08/2024,Bronze,0:03:50,0:04:00,0:00:10,5,6,36,6,53,5.3,190.7,22424,24331,1907,1000,N
69,https://www.youtube.com/watch?v=EaOwh2AUM2A,01/08/2024,Bronze,0:04:11,0:04:21,0:00:10,5,6,30,5,52,5.2,155.9,24484,26043,1559,1000,N
70,https://www.youtube.com/watch?v=EaOwh2AUM2A,01/08/2024,Bronze,0:04:25,0:04:34,0:00:09,5,6,36,6,39,4.3,154.4,26302,27692,1390,1000,N
71,https://www.youtube.com/watch?v=EaOwh2AUM2A,01/08/2024,Silver,0:07:56,0:08:05,0:00:09,5,6,36,6,55,6.1,219.2,8512,10485,1973,1000,N
72,https://www.youtube.com/watch?v=EaOwh2AUM2A,01/08/2024,Silver,0:08:31,0:08:40,0:00:09,5,6,30,5,47,5.3,158.0,10798,12220,1422,1000,N
73,https://www.youtube.com/watch?v=ub82kBbXWG4,02/05/2024,Bronze,0:01:34,0:01:44,0:00:10,0,1,5,5,75,7.5,37.6,25009,25385,376,1000,N
74,https://www.youtube.com/watch?v=0dV_hpPxIX8,01/10/2024,Gold,0:01:05,0:01:15,0:00:10,9,10,60,6,170,17.0,1022.8,5121157,5131385,10228,4500,Y
75,https://www.youtube.com/shorts/Ix_cXvgIL80,01/12/2024,Platinum,0:00:07,0:00:17,0:00:10,11,12,1200,100,142,14.2,17089.7,40824067,40994964,170897,6500,N
76,https://www.youtube.com/watch?v=q16KYiwUfss,03/06/2024,Diamond,0:01:58,0:02:09,0:00:11,11,12,24,2,56,5.1,121.6,37240174,37241512,1338,6000,N
77,https://www.youtube.com/watch?v=1eoJrS_efm4,01/06/2024,Platinum,0:00:38,0:00:48,0:00:10,10,11,66,6,182,18.2,1204.1,1581255,1593296,12041,6500,Y
78,https://www.youtube.com/watch?v=1eoJrS_efm4,01/06/2024,Platinum,0:02:32,0:02:42,0:00:10,10,11,66,6,190,19.0,1257.2,1603190,1615762,12572,6500,Y
79,https://www.youtube.com/watch?v=1eoJrS_efm4,01/06/2024,Platinum,0:03:59,0:04:09,0:00:10,10,11,165,15,169,16.9,2789.1,1626729,1654620,27891,6500,Y
80,https://www.youtube.com/watch?v=1eoJrS_efm4,01/06/2024,Platinum,0:04:13,0:04:23,0:00:10,10,11,55,5,282,28.2,1548.8,1666185,1681673,15488,6500,Y
81,https://www.youtube.com/watch?v=1eoJrS_efm4,01/06/2024,Platinum,0:06:08,0:06:18,0:00:10,10,11,55,5,168,16.8,924.6,1669009,1678255,9246,6500,Y
82,https://www.youtube.com/watch?v=4PmUIPHVUfk,01/07/2024,Silver,0:00:15,0:00:25,0:00:10,1,2,20,10,78,7.8,156.0,1562749,1564309,1560,1000,N
83,https://www.youtube.com/watch?v=4PmUIPHVUfk,01/07/2024,Silver,0:00:32,0:00:41,0:00:09,1,2,12,6,73,8.1,97.3,1564483,1565359,876,1000,N
84,https://www.youtube.com/watch?v=4PmUIPHVUfk,01/07/2024,Silver,0:00:52,0:01:02,0:00:10,1,2,10,5,92,9.2,91.8,2002727,2003645,918,1000,N
85,https://www.youtube.com/watch?v=kfFaRI1P_K0,01/09/2024,Gold,0:00:15,0:00:25,0:00:10,11,12,60,5,159,15.9,953.1,221581,231112,9531,6000,N
86,https://www.youtube.com/watch?v=kfFaRI1P_K0,01/09/2024,Gold,0:00:32,0:00:42,0:00:10,11,12,72,6,162,16.2,1166.6,232357,244023,11666,6000,N
87,https://www.youtube.com/watch?v=kfFaRI1P_K0,01/09/2024,Gold,0:05:35,0:05:45,0:00:10,11,12,60,5,149,14.9,891.8,344697,353615,8918,6000,N
88,https://www.youtube.com/watch?v=pwl3IuFM9rY,01/14/2024,Bronze,0:06:27,0:06:37,0:00:10,7,8,120,15,63,6.3,755.2,344090,351642,7552,3500,N
89,https://www.youtube.com/watch?v=pwl3IuFM9rY,01/14/2024,Bronze,0:07:34,0:07:44,0:00:10,7,8,80,10,42,4.2,336.1,473161,476522,3361,3500,N
90,https://www.youtube.com/watch?v=pwl3IuFM9rY,01/14/2024,Bronze,0:09:20,0:09:31,0:00:11,7,8,80,10,118,10.7,857.4,459310,468741,9431,3500,N
91,https://www.youtube.com/watch?v=lywrE_vYCPM,01/12/2024,Bronze,0:00:57,0:01:08,0:00:11,0,1,10,10,68,6.2,61.8,2609,3289,680,1000,N
92,https://www.youtube.com/watch?v=lywrE_vYCPM,01/12/2024,Bronze,0:04:57,0:05:08,0:00:11,2,3,45,15,58,5.3,238.3,1057,3678,2621,2000,N
93,https://www.youtube.com/watch?v=oCsEC6WIjG8,02/10/2024,Platinum,0:01:39,0:01:49,0:00:10,7,8,16,2,49,4.9,78.4,5863566,5864350,784,4500,N
94,https://www.youtube.com/watch?v=nQkTxmy8D9s,01/16/2024,Bronze,0:00:44,0:00:55,0:00:11,3,4,60,15,39,3.5,210.5,19054,21370,2316,1000,N
95,https://www.youtube.com/shorts/R5FneHBX-TU,01/12/2024,Gold,0:00:11,0:00:21,0:00:10,10,11,110,10,143,14.3,1574.1,403392,419133,15741,6000,N
96,https://www.youtube.com/shorts/3d-X_9dniAo,03/11/2024,Diamond,0:00:05,0:00:15,0:00:10,13,14,28,2,144,14.4,403.7,16086983,16091020,4037,6500,N
97,https://www.youtube.com/shorts/sTrVFNNNQYM,02/27/2024,Gold,0:00:09,0:00:19,0:00:10,8,9,63,7,71,7.1,450.1,363828,368329,4501,5000,N
98,https://www.youtube.com/watch?v=ihJAj1_Dadw,03/27/2024,Diamond,0:15:09,0:15:21,0:00:12,13,14,98,7,46,3.8,376.7,18702839,18707359,4520,7000,N
99,https://www.youtube.com/watch?v=ihJAj1_Dadw,03/27/2024,Diamond,0:15:38,0:15:50,0:00:12,13,14,28,2,145,12.1,338.5,18707401,18711463,4062,7000,N
100,https://www.youtube.com/watch?v=ihJAj1_Dadw,03/27/2024,Diamond,0:16:06,0:16:18,0:00:12,13,14,28,2,132,11.0,306.8,18711543,18715225,3682,7000,N
101,https://www.youtube.com/watch?v=qvQj7uTr14s,11/29/2023,Silver,0:02:00,0:02:09,0:00:09,16,17,34,2,119,13.2,448.6,230670,234707,4037,7300,N
102,https://www.youtube.com/watch?v=qvQj7uTr14s,11/29/2023,Silver,0:03:31,0:03:41,0:00:10,16,17,51,3,61,6.1,311.9,236295,239414,3119,7300,N
103,https://www.youtube.com/watch?v=Icwy9DbChsA,03/03/2024,Gold,0:01:31,0:01:40,0:00:09,3,4,28,7,41,4.6,129.0,2672695,2673856,1161,2000,N
104,https://www.youtube.com/watch?v=Icwy9DbChsA,03/03/2024,Gold,0:02:26,0:02:35,0:00:09,3,4,8,2,37,4.1,32.6,2674311,2674604,293,2000,N
105,https://www.youtube.com/watch?v=bCd9qvOVR3U,01/05/2024,Gold,0:02:51,0:03:01,0:00:10,6,7,42,6,49,4.9,206.5,11225842,11227907,2065,4000,N
106,https://www.youtube.com/watch?v=bCd9qvOVR3U,01/05/2024,Gold,0:03:45,0:03:54,0:00:09,6,7,42,6,50,5.6,233.8,11260540,11262644,2104,4000,N
107,https://www.youtube.com/watch?v=bCd9qvOVR3U,01/05/2024,Gold,0:05:02,0:05:11,0:00:09,6,7,70,10,54,6.0,420.7,11265424,11269210,3786,4000,N
108,https://www.youtube.com/watch?v=bCd9qvOVR3U,01/05/2024,Gold,0:05:17,0:05:27,0:00:10,6,7,350,50,55,5.5,1923.9,11270080,11289319,19239,4000,N
109,https://www.youtube.com/watch?v=EdilqbdR7Ck,01/05/2024,Gold,0:01:46,0:01:56,0:00:10,11,12,72,6,71,7.1,514.3,16634068,16639211,5143,6500,N
110,https://www.youtube.com/watch?v=EdilqbdR7Ck,01/05/2024,Gold,0:02:05,0:02:16,0:00:11,11,12,60,5,68,6.2,370.1,16639672,16643743,4071,6500,N
111,https://www.youtube.com/watch?v=EdilqbdR7Ck,01/05/2024,Gold,0:02:23,0:02:33,0:00:10,11,12,60,5,62,6.2,373.0,16644172,16647902,3730,6500,N
112,https://www.youtube.com/watch?v=EdilqbdR7Ck,01/05/2024,Gold,0:02:40,0:02:50,0:00:10,11,12,60,5,66,6.6,396.5,16648300,16652265,3965,6500,N
113,https://www.youtube.com/watch?v=EdilqbdR7Ck,01/05/2024,Gold,0:03:09,0:03:20,0:00:11,11,12,60,5,66,6.0,358.2,16652704,16656644,3940,6500,N
114,https://www.youtube.com/watch?v=EdilqbdR7Ck,01/05/2024,Gold,0:03:30,0:03:40,0:00:10,11,12,60,5,66,6.6,397.4,16657072,16661046,3974,6500,N
